date,NAO,ENSO,v,Z_an,VPD_an,SKT_an,TP_an,SM_an,BA
1/17/2014,-0.17,2.4,-0.686085054,93.73137,-0.25502512,0.05473434,4.607273,-0.003017633,1.1857591
1/25/2014,-0.17,2.4,6.03463216,147.61421,-0.08451366,0.3641473,-3.0670075,0.001346931,11.236896
2/2/2014,1.07,0.1,10.42803613,61.25769,-0.3832021,-0.5673898,-1.6252444,0.003062529,23.179977
2/10/2014,1.07,0.1,4.647425801,-477.0635,-0.06544412,-1.7294021,-0.44783527,0.005391243,68.771645
2/18/2014,1.07,0.1,0.325599765,230.97629,-0.7554814,-1.3068885,-1.7156246,0.006194098,25.92824
2/26/2014,1.07,0.1,5.019356031,-151.76942,-1.1250719,-0.964116,0.7499691,0.004197836,58.3485
3/6/2014,0.44,-1.5,2.15530966,-174.08278,-0.64773303,-0.7992243,0.13163997,0.005893552,62.784885
3/14/2014,0.44,-1.5,-0.517179952,197.46138,-0.37029016,-0.23137785,1.6027678,0.008430171,69.9977
3/22/2014,0.44,-1.5,-1.545171207,-210.2723,-1.19242,-0.8692209,-1.8819901,0.009037099,62.901024
3/30/2014,0.44,-1.5,1.84478178,-24.55059,-0.58712006,-0.48544583,-0.7776836,0.00358674,50.182915
4/7/2014,0.19,1.3,0.069705293,135.6536,-0.06616136,-0.39295328,-4.7765517,0.005458046,32.63442
4/15/2014,0.19,1.3,-0.923561736,109.48875,-0.6668917,-0.45240846,-5.3551984,0.003158778,37.796524
4/23/2014,0.19,1.3,1.488630915,116.951805,0.40545297,0.0609832,-5.5583816,-0.001981963,11.9842
5/1/2014,-0.8,0.9,0.942875507,102.40216,-0.6437676,0.2871501,5.902016,-0.00708017,10.64028
5/9/2014,-0.8,0.9,1.89000071,-170.07936,-1.11616,-0.76064503,-3.1471252,-0.007548233,4.5680337
5/17/2014,-0.8,0.9,2.516873084,-11.491207,0.108159624,-0.21434471,-6.893594,-0.011128443,2.977147
5/25/2014,-0.8,0.9,1.24598952,116.47374,0.44502902,0.2218649,-7.5807943,-0.01566581,7.279407
6/2/2014,-0.67,0.3,2.912200874,144.02412,1.867542,0.86921376,-0.24253993,-0.018334229,5.154264
6/10/2014,-0.67,0.3,0.16599031,-47.151657,1.2794608,0.34751874,-7.440718,-0.029617885,0.5817323
6/18/2014,-0.67,0.3,-0.336302143,-36.464245,0.63231367,0.11016168,-8.805373,-0.034564104,0.43325645
6/26/2014,-0.67,0.3,0.003413552,162.12187,1.3025733,0.31629273,-15.155769,-0.038020052,0.07603544
7/4/2014,0.21,-0.3,0.606626154,-54.997353,0.7641009,0.30863738,-6.3297105,-0.039336324,0.3320452
7/12/2014,0.21,-0.3,0.356851094,43.88245,0.27101475,0.009948893,5.535343,-0.034990683,0.16642317
7/20/2014,0.21,-0.3,-1.490804054,-5.4833274,0.44077942,-0.09683498,-3.0903735,-0.027138367,0.4944144
7/28/2014,0.21,-0.3,-1.983870597,91.73236,-0.08345077,-0.028436866,0.7139542,-0.021044731,0.4123299
8/5/2014,-2.28,-1.2,1.151449319,-35.063805,0.35699803,-0.042892233,-0.94876164,-0.012696522,0.5104438
8/13/2014,-2.28,-1.2,-1.896221098,34.15744,0.34953463,-0.12673806,-5.006979,-0.00251676,0.25526193
8/21/2014,-2.28,-1.2,0.116559831,30.750492,0.9273675,-0.0466724,2.5302973,-0.003041724,0.11999431
8/29/2014,-2.28,-1.2,0.414126275,-49.622734,-0.2554035,-0.2308215,15.786468,0.000146472,0.025742587
9/6/2014,1.72,-1.2,-0.432818129,-116.855896,-0.37535664,-0.1276603,-3.4658194,0.004676262,0.06923583
9/14/2014,1.72,-1.2,-0.375024803,-56.62781,0.23740387,-0.05705132,-6.649102,0.008920292,2.3416104
9/22/2014,1.72,-1.2,-0.768884493,127.60541,0.74930924,0.023572084,-9.797157,0.010965901,0.86726713
9/30/2014,1.72,-1.2,-0.832319533,166.99136,0.67271364,0.496753,-3.4090092,0.007298249,1.8347601
10/8/2014,-0.87,-1,2.22113291,-84.205376,-0.20697919,-0.08696102,4.737203,-0.00226336,6.1039023
10/16/2014,-0.87,-1,1.282245307,117.95039,0.13926746,-0.14372808,0.93619514,-0.005260504,116.76986
10/24/2014,-0.87,-1,-0.352529358,-7.459948,-0.9138502,-0.16847926,7.2767496,-0.00324634,20.806585
11/1/2014,0.58,-1.5,2.939040788,-65.255104,-0.5331872,-0.22770615,5.605641,-0.001781774,22.122242
